Round#,Match#,Game#,Server,Receiver,First Serves,First Serve Wins,First Serve Loss,First Service Fault,Second Serves,Second Serve Wins,Second Serve Loss,Double Faults,Aces,Total Points Won,Total Points Lost
1,6,1,Jit Narayan De,Subhadip Chakraborty,4,4,0,0,0,0,0,0,0,4,0
1,6,2,Subhadip Chakraborty,Jit Narayan De,4,0,1,3,3,0,3,0,0,0,4
1,6,3,Jit Narayan De,Subhadip Chakraborty,5,3,1,1,1,1,0,0,0,4,1
1,6,4,Subhadip Chakraborty,Jit Narayan De,5,1,0,4,4,0,4,1,0,1,4
1,6,5,Jit Narayan De,Subhadip Chakraborty,4,3,0,1,1,1,0,0,0,4,0
1,6,6,Subhadip Chakraborty,Jit Narayan De,5,0,1,4,4,1,3,0,0,1,4
1,17,1,CKP,Avijit Paul,6,3,0,3,3,1,2,0,0,4,2
1,17,2,Avijit Paul,CKP,6,1,2,3,3,1,2,2,0,2,4
1,17,3,CKP,Avijit Paul,4,3,0,1,1,1,0,0,0,4,0
1,17,4,Avijit Paul,CKP,4,0,4,0,0,0,0,0,0,0,4
1,17,5,CKP,Avijit Paul,10,5,2,3,3,1,2,0,0,6,4
1,17,6,Avijit Paul,CKP,5,3,0,2,2,1,1,0,0,4,1
1,17,7,CKP,Avijit Paul,4,3,0,1,1,1,0,0,0,4,0
1,21,1,Sumit Raychaudhuri,Ishmeet,6,1,1,4,4,3,1,0,0,4,2
1,21,2,Ishmeet,Sumit Raychaudhuri,5,1,1,3,3,0,3,0,0,1,4
1,21,3,Sumit Raychaudhuri,Ishmeet,4,1,0,3,3,3,0,0,0,4,0
1,21,4,Ishmeet,Sumit Raychaudhuri,5,3,0,2,2,1,1,0,0,4,1
1,21,5,Sumit Raychaudhuri,Ishmeet,5,2,0,3,3,2,1,0,1,4,1
1,21,6,Ishmeet,Sumit Raychaudhuri,8,2,3,3,3,1,2,2,0,3,5
1,21,7,Sumit Raychaudhuri,Ishmeet,16,5,4,7,7,2,5,1,1,7,9
1,21,8,Ishmeet,Sumit Raychaudhuri,8,4,1,3,3,1,2,1,0,5,3
1,21,9,Sumit Raychaudhuri,Ishmeet,6,2,2,2,2,0,2,1,0,2,4
1,21,10,Ishmeet,Sumit Raychaudhuri,5,1,4,0,0,0,0,0,0,1,4
1,9,1,Samarth Gupta,Arin Neogi,4,0,2,2,2,0,2,1,0,0,4
1,9,2,Arin Neogi,Samarth Gupta,4,1,0,3,3,3,0,0,0,4,0
1,9,3,Samarth Gupta,Arin Neogi,6,2,2,2,2,0,2,1,0,2,4
1,9,4,Arin Neogi,Samarth Gupta,12,5,1,6,6,2,4,0,0,7,5
1,9,5,Samarth Gupta,Arin Neogi,6,1,2,3,3,1,2,1,0,2,4
1,9,6,Arin Neogi,Samarth Gupta,6,4,1,1,1,0,1,1,0,4,2
1,10,1,Tarun Sharma,Ajit Bikram,8,2,4,2,2,1,1,1,0,3,5
1,10,2,Ajit Bikram,Tarun Sharma,4,0,0,4,4,0,4,0,0,0,4
1,10,3,Tarun Sharma,Ajit Bikram,8,3,5,0,0,0,0,0,0,3,5
1,10,4,Ajit Bikram,Tarun Sharma,4,0,0,4,4,4,0,0,0,4,0
1,10,5,Tarun Sharma,Ajit Bikram,6,2,4,0,0,0,0,0,0,2,4
1,10,6,Ajit Bikram,Tarun Sharma,10,5,1,4,4,1,3,3,0,6,4
1,10,7,Tarun Sharma,Ajit Bikram,6,1,4,1,1,1,0,0,0,2,4
1,22,1,Sandip Kundu,Dr. Niraj Priyadarshi,5,0,3,2,2,1,1,0,0,1,4
1,22,2,Dr. Niraj Priyadarshi,Sandip Kundu,5,4,0,1,1,0,1,0,0,4,1
1,22,3,Sandip Kundu,Dr. Niraj Priyadarshi,4,0,1,3,3,0,3,1,0,0,4
1,22,4,Dr. Niraj Priyadarshi,Sandip Kundu,6,2,4,0,0,0,0,0,0,2,4
1,22,5,Sandip Kundu,Dr. Niraj Priyadarshi,8,2,4,2,2,1,1,1,0,3,5
1,22,6,Dr. Niraj Priyadarshi,Sandip Kundu,8,3,4,1,1,0,1,0,0,3,5
1,22,7,Sandip Kundu,Dr. Niraj Priyadarshi,4,2,0,2,2,2,0,0,0,4,0
1,22,8,Dr. Niraj Priyadarshi,Sandip Kundu,6,3,1,2,2,1,1,1,0,4,2
1,22,9,Sandip Kundu,Dr. Niraj Priyadarshi,5,1,1,3,3,0,3,0,0,1,4
1,12,1,Atulya Priyadarshi,Debasis Kundu,5,2,0,3,3,2,1,1,0,4,1
1,12,2,Debasis Kundu,Atulya Priyadarshi,5,3,0,2,2,1,1,1,0,4,1
1,12,3,Atulya Priyadarshi,Debasis Kundu,4,0,1,3,3,0,3,1,0,0,4
1,12,4,Debasis Kundu,Atulya Priyadarshi,6,3,0,3,3,1,2,1,0,4,2
1,12,5,Atulya Priyadarshi,Debasis Kundu,6,0,2,4,4,2,2,1,0,2,4
1,12,6,Debasis Kundu,Atulya Priyadarshi,5,1,0,4,4,3,1,0,0,4,1
1,12,7,Atulya Priyadarshi,Debasis Kundu,10,4,1,5,5,2,3,1,0,6,4
1,12,8,Debasis Kundu,Atulya Priyadarshi,6,2,1,3,3,0,3,2,0,2,4
1,12,9,Atulya Priyadarshi,Debasis Kundu,6,2,3,1,1,0,1,0,0,2,4
1,5,1,Dipanjan Mitra,Vivaan Chandra,5,4,0,1,1,0,1,0,0,4,1
1,5,2,Vivaan Chandra,Dipanjan Mitra,10,4,2,4,4,2,2,1,0,6,4
1,5,3,Dipanjan Mitra,Vivaan Chandra,6,2,4,0,0,0,0,0,0,2,4
1,5,4,Vivaan Chandra,Dipanjan Mitra,4,0,4,0,0,0,0,0,0,0,4
1,5,5,Dipanjan Mitra,Vivaan Chandra,8,5,3,0,0,0,0,0,0,5,3
1,5,6,Vivaan Chandra,Dipanjan Mitra,5,1,3,1,1,0,1,0,0,1,4
1,5,7,Dipanjan Mitra,Vivaan Chandra,6,4,2,0,0,0,0,0,0,4,2
1,5,8,Vivaan Chandra,Dipanjan Mitra,10,4,3,3,3,0,3,0,0,4,6
1,7,1,Sneh Mitra,Sisir Biswas,5,1,0,4,4,3,1,0,1,4,1
1,7,2,Sisir Biswas,Sneh Mitra,4,0,0,4,4,0,4,2,0,0,4
1,7,3,Sneh Mitra,Sisir Biswas,5,2,0,3,3,2,1,0,1,4,1
1,7,4,Sisir Biswas,Sneh Mitra,12,3,2,7,7,2,5,4,1,5,7
1,7,5,Sneh Mitra,Sisir Biswas,5,0,0,5,5,4,1,0,0,4,1
1,7,6,Sisir Biswas,Sneh Mitra,4,0,0,4,4,0,4,3,0,0,4
1,13,1,Amik Parua,Sourav Ghosh,8,1,1,6,6,2,4,0,0,3,5
1,13,2,Sourav Ghosh,Amik Parua,8,3,2,3,3,2,1,0,0,5,3
